,学习率,最大树深度,最小采样叶子节点,样本采样率,最大叶子节点,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,13
5424,0.0775,6,5,0.75,9,0.893972311,0.947822971,0.078759969,0.099228629,0.06605506,0.132402198,0.872538207,0.806054872,automl\GBM_AutoMl_5424
5713,0.0775,7,5,0.625,8,0.892583343,0.949408783,0.079612165,0.108721837,0.06656562,0.150878053,0.881361273,0.80925859,automl\GBM_AutoMl_5713
3698,0.055,5,6,1,13,0.892028719,0.95168049,0.081285993,0.122685135,0.078083061,0.167287209,0.895698755,0.820405513,automl\GBM_AutoMl_3698
3747,0.055,5,7,1,12,0.89004957,0.955455903,0.082609304,0.142319813,0.080076377,0.204563249,0.925161494,0.829671494,automl\GBM_AutoMl_3747
5183,0.0775,5,6,0.875,8,0.889696785,0.950124003,0.081909781,0.116591005,0.066999788,0.166182221,0.884039704,0.807163921,automl\GBM_AutoMl_5183
5122,0.0775,5,5,0.75,7,0.889488701,0.943546918,0.080614839,0.098134349,0.074756172,0.121512526,0.843705688,0.793157076,automl\GBM_AutoMl_5122
3749,0.055,5,7,1,14,0.889251648,0.957680033,0.081283566,0.149688183,0.095109517,0.204266849,0.923113282,0.830298307,automl\GBM_AutoMl_3749
5133,0.0775,5,5,0.875,8,0.888737315,0.946708168,0.083291977,0.113654169,0.068307799,0.159000538,0.87064755,0.805187236,automl\GBM_AutoMl_5133
5415,0.0775,6,5,0.625,10,0.888728922,0.955129021,0.082404531,0.134686438,0.076621622,0.192751255,0.91507799,0.816877637,automl\GBM_AutoMl_5415
3748,0.055,5,7,1,13,0.888150533,0.953612701,0.084257495,0.14082649,0.088642671,0.19301031,0.912557114,0.824073415,automl\GBM_AutoMl_3748
3648,0.055,5,5,1,13,0.887765219,0.946540792,0.085157986,0.115812923,0.071142476,0.16048337,0.87364109,0.805490994,automl\GBM_AutoMl_3648
4811,0.0775,4,5,0.625,6,0.887552197,0.947087418,0.085055847,0.115896993,0.065210111,0.166583875,0.87064755,0.804074209,automl\GBM_AutoMl_4811
5487,0.0775,6,6,0.875,12,0.887468305,0.9517317,0.082037994,0.131332098,0.08640047,0.176263727,0.897431858,0.811511611,automl\GBM_AutoMl_5487
