,学习率,最大树深度,最小采样叶子节点,样本采样率,最大叶子节点,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,13
782,0.075,7,4,0.6,14,0.889390689,0.941880758,0.084943645,0.127205292,0.033836922,0.15173188,0.855555556,0.784893679,automl\GBM_AutoMl_782
566,0.0625,8,5,0.9,14,0.889269759,0.941469072,0.082567653,0.105836357,0.026000776,0.126671323,0.837795993,0.770758274,automl\GBM_AutoMl_566
855,0.075,8,5,0.6,12,0.888982495,0.941770991,0.080494803,0.106480203,0.037439632,0.124406399,0.841074681,0.775463935,automl\GBM_AutoMl_855
551,0.0625,8,4,0.9,14,0.887578206,0.940436308,0.085920852,0.12079413,0.023383662,0.146858146,0.845537341,0.769594231,automl\GBM_AutoMl_551
789,0.075,7,4,0.9,12,0.886844866,0.94239434,0.084122518,0.120420828,0.038157895,0.141593988,0.842076503,0.779299591,automl\GBM_AutoMl_789
596,0.0625,8,7,0.9,14,0.886634578,0.941298367,0.086537755,0.121828137,0.051387385,0.141985028,0.869489982,0.768772396,automl\GBM_AutoMl_596
682,0.075,5,5,0.8,13,0.886623315,0.941249143,0.08509417,0.109089303,0.034234916,0.129885004,0.847723133,0.759186004,automl\GBM_AutoMl_682
580,0.0625,8,6,0.9,13,0.886241434,0.941282217,0.085964198,0.121584085,0.039703875,0.143577248,0.850546448,0.772872098,automl\GBM_AutoMl_580
858,0.075,8,5,0.7,12,0.886210074,0.939572163,0.085957312,0.122504094,0.028116994,0.147114937,0.840619308,0.773647374,automl\GBM_AutoMl_858
1174,0.0875,8,6,0.7,13,0.885958957,0.939406106,0.087183102,0.125553932,0.046181608,0.148260304,0.867850638,0.76741564,automl\GBM_AutoMl_1174
504,0.0625,7,5,0.9,12,0.885542014,0.942987293,0.08276597,0.115552648,0.054084074,0.132031457,0.849817851,0.772849629,automl\GBM_AutoMl_504
878,0.075,8,6,0.8,14,0.885448709,0.939204541,0.084717684,0.118066215,0.027027342,0.141787767,0.834790528,0.768508426,automl\GBM_AutoMl_878
723,0.075,6,4,0.7,12,0.885419037,0.941688301,0.082803873,0.112193732,0.047382075,0.128827529,0.837340619,0.775864979,automl\GBM_AutoMl_723
720,0.075,6,4,0.6,12,0.885332021,0.937793305,0.085762464,0.114419094,0.036738219,0.134673893,0.838979964,0.772138636,automl\GBM_AutoMl_720
708,0.075,5,7,0.7,12,0.88525061,0.938920963,0.089933579,0.122962493,0.03351813,0.147360731,0.850910747,0.768086156,automl\GBM_AutoMl_708
738,0.075,6,5,0.7,12,0.885197334,0.939975853,0.087198025,0.126425773,0.034166285,0.150966542,0.846539162,0.772459071,automl\GBM_AutoMl_738
1101,0.0875,7,5,0.8,12,0.885069577,0.940502587,0.083755026,0.119705533,0.043098373,0.139737098,0.842258652,0.774215153,automl\GBM_AutoMl_1101
886,0.075,8,7,0.6,13,0.88503036,0.935193551,0.087749623,0.117614238,0.035101623,0.139775134,0.846357013,0.769097079,automl\GBM_AutoMl_886
1023,0.0875,6,4,0.7,12,0.884731929,0.939909686,0.086041206,0.116985646,0.038522036,0.138329453,0.84571949,0.764311289,automl\GBM_AutoMl_1023
841,0.075,8,4,0.6,13,0.884537936,0.940364515,0.082888576,0.113593815,0.048289954,0.130159018,0.834517304,0.777118141,automl\GBM_AutoMl_841
1413,0.1,7,6,0.7,12,0.884517218,0.938384444,0.09043421,0.12570245,0.051149733,0.147369812,0.871038251,0.764967007,automl\GBM_AutoMl_1413
804,0.075,7,5,0.9,12,0.884324595,0.939881937,0.086579826,0.119140362,0.035323289,0.14169927,0.842349727,0.764759385,automl\GBM_AutoMl_804
1133,0.0875,7,7,0.8,14,0.884104214,0.937465531,0.085531932,0.11928326,0.037239982,0.141085437,0.841256831,0.767958098,automl\GBM_AutoMl_1133
