,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
1458,0.2,4,0.5,0.5,0.5,0.5,0.5,0.883638106,0.943510148,0.082989248,0.130290453,0.10705,0.136421006,0.876229508,0.802418682,automl\Xgboost_AutoMl_1458
1542,0.2,4,0.8,0.5,0.5,0.8,0.5,0.882029469,0.947901847,0.077928373,0.119183713,0.086556505,0.126919754,0.83132969,0.796613867,automl\Xgboost_AutoMl_1542
1539,0.2,4,0.8,0.5,0.5,0.5,0.5,0.882336169,0.940509954,0.08714916,0.13307055,0.100688177,0.141859919,0.879143898,0.79527105,automl\Xgboost_AutoMl_1539
1623,0.2,4,1.1,0.5,0.5,0.8,0.5,0.875709613,0.945081498,0.077770213,0.117839023,0.106406527,0.120527835,0.82140255,0.789789395,automl\Xgboost_AutoMl_1623
1647,0.2,4,1.1,0.8,0.5,0.5,0.5,0.874743188,0.942594189,0.083752775,0.125336373,0.105707448,0.130179558,0.83442623,0.786235304,automl\Xgboost_AutoMl_1647
973,0.1,5,0.5,0.5,0.5,0.5,0.8,0.872972307,0.938057378,0.087679508,0.131171928,0.092352329,0.140913473,0.832331512,0.778648718,automl\Xgboost_AutoMl_973
838,0.1,4,0.8,0.8,0.5,0.5,0.8,0.862448201,0.933959071,0.096637903,0.147189397,0.103702156,0.157531402,0.811566485,0.776693106,automl\Xgboost_AutoMl_838
1620,0.2,4,1.1,0.5,0.5,0.5,0.5,0.868370141,0.935128466,0.090693347,0.134552519,0.121236352,0.138067213,0.846539162,0.775035437,automl\Xgboost_AutoMl_1620
730,0.1,4,0.5,0.5,0.5,0.5,0.8,0.862431738,0.938560422,0.08513136,0.130772936,0.130567695,0.130821408,0.807468124,0.775033874,automl\Xgboost_AutoMl_730
1541,0.2,4,0.8,0.5,0.5,0.5,1,0.873343312,0.936954264,0.089033131,0.130081725,0.083333333,0.141994399,0.832149362,0.773404435,automl\Xgboost_AutoMl_1541
1545,0.2,4,0.8,0.5,0.5,1,0.5,0.873343312,0.936954264,0.089033131,0.130081725,0.083333333,0.141994399,0.832149362,0.773404435,automl\Xgboost_AutoMl_1545
1460,0.2,4,0.5,0.5,0.5,0.5,1,0.878330941,0.936869571,0.093062243,0.139370926,0.055313761,0.161827328,0.848269581,0.772593422,automl\Xgboost_AutoMl_1460
1464,0.2,4,0.5,0.5,0.5,1,0.5,0.878330941,0.936869571,0.093062243,0.139370926,0.055313761,0.161827328,0.848269581,0.772593422,automl\Xgboost_AutoMl_1464
919,0.1,4,1.1,0.8,0.5,0.5,0.8,0.862098847,0.933359102,0.09495565,0.143155326,0.103985266,0.152515964,0.808834244,0.772495977,automl\Xgboost_AutoMl_919
1622,0.2,4,1.1,0.5,0.5,0.5,1,0.875072846,0.935567821,0.089031065,0.125835715,0.069841586,0.139982904,0.827595628,0.77198199,automl\Xgboost_AutoMl_1622
1626,0.2,4,1.1,0.5,0.5,1,0.5,0.875072846,0.935567821,0.089031065,0.125835715,0.069841586,0.139982904,0.827595628,0.77198199,automl\Xgboost_AutoMl_1626
1566,0.2,4,0.8,0.8,0.5,0.5,0.5,0.86757481,0.937727823,0.086964159,0.12791577,0.105852277,0.133330501,0.816939891,0.771513353,automl\Xgboost_AutoMl_1566
757,0.1,4,0.5,0.8,0.5,0.5,0.8,0.858625243,0.93285448,0.095123981,0.143185832,0.10834333,0.151220584,0.794899818,0.770650302,automl\Xgboost_AutoMl_757
1783,0.2,5,0.8,0.5,0.5,0.5,0.8,0.878923321,0.937561256,0.084026597,0.111197457,0.068615935,0.122133488,0.830510018,0.769308643,automl\Xgboost_AutoMl_1783
1054,0.1,5,0.8,0.5,0.5,0.5,0.8,0.864096117,0.935493107,0.088675458,0.13049597,0.115589477,0.134170236,0.815300546,0.768543956,automl\Xgboost_AutoMl_1054
1890,0.2,5,1.1,0.8,0.5,0.5,0.5,0.881228956,0.938261642,0.091791988,0.126005106,0.046429114,0.147356738,0.845081967,0.768256334,automl\Xgboost_AutoMl_1890
2109,0.2,6,1.1,0.5,0.5,0.8,0.5,0.872966705,0.936265187,0.087122687,0.122520953,0.084913283,0.132139545,0.827868852,0.768223114,automl\Xgboost_AutoMl_2109
247,0.075,5,0.5,0.5,0.5,0.8,0.8,0.865908804,0.936000454,0.086529581,0.125614142,0.104831037,0.130672789,0.809380692,0.767046435,automl\Xgboost_AutoMl_247
1485,0.2,4,0.5,0.8,0.5,0.5,0.5,0.875686463,0.939189472,0.086924944,0.121561607,0.077777134,0.13304974,0.834881603,0.76631139,automl\Xgboost_AutoMl_1485
1944,0.2,6,0.5,0.5,0.5,0.5,0.5,0.875011515,0.933214915,0.10014959,0.140682701,0.058348145,0.163474548,0.851912568,0.764122044,automl\Xgboost_AutoMl_1944
811,0.1,4,0.8,0.5,0.5,0.5,0.8,0.853914838,0.937864689,0.084864055,0.130643685,0.14422843,0.127564355,0.781876138,0.76348437,automl\Xgboost_AutoMl_811
409,0.075,5,1.1,0.5,0.5,0.8,0.8,0.863099095,0.936695457,0.084033455,0.120044315,0.118665233,0.120376569,0.801639344,0.763002774,automl\Xgboost_AutoMl_409
972,0.1,5,0.5,0.5,0.5,0.5,0.5,0.859509583,0.93920753,0.087706486,0.134159147,0.120225753,0.137470689,0.796994536,0.762946818,automl\Xgboost_AutoMl_972
733,0.1,4,0.5,0.5,0.5,0.8,0.8,0.863059531,0.936111352,0.084366651,0.118755018,0.116204085,0.119372756,0.800910747,0.760660842,automl\Xgboost_AutoMl_733
2106,0.2,6,1.1,0.5,0.5,0.5,0.5,0.872473075,0.931642848,0.100915711,0.140824797,0.056900045,0.163669417,0.841530055,0.760306097,automl\Xgboost_AutoMl_2106
1684,0.2,4,1.1,1,0.8,0.5,0.8,0.877685496,0.936318914,0.087193856,0.11331123,0.043455038,0.130929068,0.813934426,0.759819759,automl\Xgboost_AutoMl_1684
1057,0.1,5,0.8,0.5,0.5,0.8,0.8,0.861902023,0.939884177,0.080123408,0.113645997,0.116358396,0.113023609,0.781967213,0.759688551,automl\Xgboost_AutoMl_1057
1404,0.1,6,1.1,0.8,0.5,0.5,0.5,0.856329661,0.942098135,0.083140468,0.127467005,0.133055171,0.12619287,0.779872495,0.759669979,automl\Xgboost_AutoMl_1404
1300,0.1,6,0.8,0.5,0.5,0.8,0.8,0.875031207,0.93453981,0.090919625,0.121999936,0.061765383,0.137941642,0.830692168,0.75964021,automl\Xgboost_AutoMl_1300
1515,0.2,4,0.5,1,0.5,0.8,0.5,0.882034829,0.935748364,0.10075345,0.138975948,0.047991377,0.166864905,0.884881603,0.759299781,automl\Xgboost_AutoMl_1515
2160,0.2,6,1.1,1,0.5,0.5,0.5,0.883665138,0.93595632,0.095522995,0.126337465,0.029646209,0.153988066,0.858378871,0.759162304,automl\Xgboost_AutoMl_2160
1569,0.2,4,0.8,0.8,0.5,0.8,0.5,0.872436418,0.93531007,0.088217078,0.115850486,0.061449128,0.129285543,0.80582878,0.758996354,automl\Xgboost_AutoMl_1569
1863,0.2,5,1.1,0.5,0.5,0.5,0.5,0.863245793,0.929174039,0.09599527,0.134810218,0.083527981,0.14746857,0.80564663,0.758987559,automl\Xgboost_AutoMl_1863
1297,0.1,6,0.8,0.5,0.5,0.5,0.8,0.86282369,0.932107093,0.090446348,0.126278861,0.10394524,0.131810032,0.806648452,0.758857045,automl\Xgboost_AutoMl_1297
814,0.1,4,0.8,0.5,0.5,0.8,0.8,0.866890238,0.937401048,0.083866325,0.117414341,0.102586623,0.1211148,0.809107468,0.758700201,automl\Xgboost_AutoMl_814
190,0.075,4,1.1,0.8,0.5,0.5,0.8,0.849966201,0.935106506,0.092787151,0.144141164,0.128909338,0.147547594,0.772222222,0.758306131,automl\Xgboost_AutoMl_190
328,0.075,5,0.8,0.5,0.5,0.8,0.8,0.861950138,0.935281643,0.085823801,0.119597155,0.108118729,0.122325226,0.791894353,0.758064516,automl\Xgboost_AutoMl_328
1206,0.1,5,1.1,1,1,0.5,0.5,0.867454982,0.932295258,0.095273024,0.137590315,0.076056639,0.153619133,0.823315118,0.758039495,automl\Xgboost_AutoMl_1206
892,0.1,4,1.1,0.5,0.5,0.5,0.8,0.845236421,0.933820693,0.087739543,0.13819081,0.17223061,0.130407272,0.778415301,0.757343494,automl\Xgboost_AutoMl_892
