,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
1146,0.3,6,1.1,1,0.3,0.8,0.5,0.900474708,0.944854799,0.08010444,0.105260749,0.033587926,0.125438272,0.887067395,0.789879166,automl\Xgboost_AutoMl_1146
1218,0.3,7,0.8,1,0.3,0.8,0.5,0.898655502,0.944180311,0.081743794,0.105337016,0.03211323,0.126067161,0.882786885,0.784159858,automl\Xgboost_AutoMl_1218
931,0.3,4,1.1,1,0.3,0.8,0.8,0.895787581,0.948442013,0.083593877,0.121881924,0.040456286,0.144580125,0.882786885,0.789428676,automl\Xgboost_AutoMl_931
967,0.3,4,1.5,1,0.3,0.8,0.8,0.895285992,0.943681637,0.08772181,0.121663563,0.021236317,0.149031546,0.871584699,0.787071305,automl\Xgboost_AutoMl_967
715,0.2,6,1.1,1,0.3,0.8,0.8,0.895109381,0.946109852,0.086040788,0.121770335,0.042729455,0.144598551,0.890710383,0.784376629,automl\Xgboost_AutoMl_715
1107,0.3,6,0.8,1,0.3,0.5,0.5,0.891686349,0.943465148,0.077229501,0.09039851,0.034266558,0.105117747,0.838615665,0.769931853,automl\Xgboost_AutoMl_1107
1108,0.3,6,0.8,1,0.3,0.5,0.8,0.891686349,0.943465148,0.077229501,0.09039851,0.034266558,0.105117747,0.838615665,0.769931853,automl\Xgboost_AutoMl_1108
895,0.3,4,0.8,1,0.3,0.8,0.8,0.891201975,0.943764377,0.086816081,0.118556726,0.047170078,0.139581601,0.884061931,0.771928429,automl\Xgboost_AutoMl_895
1290,0.3,7,1.5,1,0.3,0.8,0.5,0.890900039,0.941664814,0.083610885,0.112185704,0.044836609,0.130439685,0.863114754,0.781253864,automl\Xgboost_AutoMl_1290
387,0.15,7,1.1,1,0.3,0.5,0.5,0.888386192,0.945925128,0.075846997,0.105754472,0.078260354,0.11276345,0.852276867,0.79197698,automl\Xgboost_AutoMl_387
388,0.15,7,1.1,1,0.3,0.5,0.8,0.888386192,0.945925128,0.075846997,0.105754472,0.078260354,0.11276345,0.852276867,0.79197698,automl\Xgboost_AutoMl_388
1254,0.3,7,1.1,1,0.3,0.8,0.5,0.888199726,0.940477773,0.086163018,0.112561414,0.050283544,0.130651327,0.871857923,0.765870635,automl\Xgboost_AutoMl_1254
783,0.2,7,0.8,1,0.3,0.5,0.5,0.887963496,0.938081069,0.085737781,0.104555088,0.033569446,0.12456162,0.853734062,0.759828159,automl\Xgboost_AutoMl_783
784,0.2,7,0.8,1,0.3,0.5,0.8,0.887963496,0.938081069,0.085737781,0.104555088,0.033569446,0.12456162,0.853734062,0.759828159,automl\Xgboost_AutoMl_784
858,0.2,7,1.5,1,0.3,0.8,0.5,0.887118792,0.939471228,0.084408666,0.114794001,0.054223012,0.130910394,0.85582878,0.780838423,automl\Xgboost_AutoMl_858
319,0.15,6,1.5,1,0.3,0.8,0.8,0.887084262,0.942071726,0.088306821,0.124973508,0.047932386,0.146330285,0.865664845,0.775981713,automl\Xgboost_AutoMl_319
425,0.15,7,1.5,1,0.3,0.5,1,0.886662102,0.93813425,0.08925569,0.115657814,0.028241597,0.138654431,0.842531876,0.77246159,automl\Xgboost_AutoMl_425
429,0.15,7,1.5,1,0.3,1,0.5,0.886662102,0.93813425,0.08925569,0.115657814,0.028241597,0.138654431,0.842531876,0.77246159,automl\Xgboost_AutoMl_429
686,0.2,6,1.1,0.5,0.5,0.5,1,0.886193866,0.936180515,0.086053823,0.1020929,0.030546056,0.121801212,0.842440801,0.757234661,automl\Xgboost_AutoMl_686
690,0.2,6,1.1,0.5,0.5,1,0.5,0.886193866,0.936180515,0.086053823,0.1020929,0.030546056,0.121801212,0.842440801,0.757234661,automl\Xgboost_AutoMl_690
1022,0.3,5,1.1,0.5,0.3,0.8,1,0.886060687,0.939962491,0.084472564,0.108378023,0.05026456,0.123909394,0.847632058,0.771884719,automl\Xgboost_AutoMl_1022
1024,0.3,5,1.1,0.5,0.3,1,0.8,0.886060687,0.939962491,0.084472564,0.108378023,0.05026456,0.123909394,0.847632058,0.771884719,automl\Xgboost_AutoMl_1024
351,0.15,7,0.8,1,0.3,0.5,0.5,0.88585415,0.943704414,0.078042125,0.108268842,0.075215433,0.116789688,0.848360656,0.784586229,automl\Xgboost_AutoMl_351
352,0.15,7,0.8,1,0.3,0.5,0.8,0.88585415,0.943704414,0.078042125,0.108268842,0.075215433,0.116789688,0.848360656,0.784586229,automl\Xgboost_AutoMl_352
607,0.2,5,1.1,1,0.3,0.8,0.8,0.885604923,0.940770373,0.086163869,0.119743265,0.053867127,0.137154399,0.852550091,0.780083333,automl\Xgboost_AutoMl_607
535,0.2,4,1.5,1,0.3,0.8,0.8,0.885392377,0.942207565,0.086609091,0.125912784,0.058826655,0.143101414,0.851730419,0.78976481,automl\Xgboost_AutoMl_535
1182,0.3,6,1.5,1,0.3,0.8,0.5,0.885332107,0.93679878,0.090237276,0.119200572,0.040951432,0.141463176,0.861748634,0.763834511,automl\Xgboost_AutoMl_1182
211,0.15,5,1.5,1,0.3,0.8,0.8,0.885193875,0.938225981,0.089992836,0.12107511,0.036564321,0.144211183,0.852367942,0.768201592,automl\Xgboost_AutoMl_211
427,0.15,7,1.5,1,0.3,0.8,0.8,0.884684595,0.939977128,0.093267454,0.129075816,0.050597041,0.15224229,0.876502732,0.764568024,automl\Xgboost_AutoMl_427
1074,0.3,5,1.5,1,0.3,0.8,0.5,0.884659649,0.940712269,0.084943458,0.112496387,0.054090488,0.127847787,0.84435337,0.774422587,automl\Xgboost_AutoMl_1074
391,0.15,7,1.1,1,0.3,0.8,0.8,0.884488418,0.936528584,0.093050576,0.125850968,0.045077082,0.149296161,0.869945355,0.764435197,automl\Xgboost_AutoMl_391
1242,0.3,7,1.1,1,0.5,0.5,0.5,0.884381678,0.936830135,0.095566594,0.125249671,0.050751435,0.148480843,0.886247723,0.754779911,automl\Xgboost_AutoMl_1242
534,0.2,4,1.5,1,0.3,0.8,0.5,0.884051903,0.94183092,0.083964108,0.12552182,0.079088124,0.137453078,0.8571949,0.793859649,automl\Xgboost_AutoMl_534
497,0.2,4,1.1,1,0.3,0.5,1,0.883893258,0.943904843,0.079829497,0.104588003,0.046931548,0.118651761,0.81712204,0.773681714,automl\Xgboost_AutoMl_497
501,0.2,4,1.1,1,0.3,1,0.5,0.883893258,0.943904843,0.079829497,0.104588003,0.046931548,0.118651761,0.81712204,0.773681714,automl\Xgboost_AutoMl_501
702,0.2,6,1.1,1,0.5,0.5,0.5,0.883665138,0.93595632,0.095522995,0.126337465,0.029646209,0.153988066,0.858378871,0.759162304,automl\Xgboost_AutoMl_702
14,0.15,4,0.8,0.5,0.3,0.8,1,0.883328485,0.944780838,0.084508357,0.118865001,0.044940945,0.137800008,0.831967213,0.771537162,automl\Xgboost_AutoMl_14
16,0.15,4,0.8,0.5,0.3,1,0.8,0.883328485,0.944780838,0.084508357,0.118865001,0.044940945,0.137800008,0.831967213,0.771537162,automl\Xgboost_AutoMl_16
855,0.2,7,1.5,1,0.3,0.5,0.5,0.883160913,0.941051569,0.08200443,0.105925468,0.049496186,0.120030807,0.823588342,0.771751654,automl\Xgboost_AutoMl_855
856,0.2,7,1.5,1,0.3,0.5,0.8,0.883160913,0.941051569,0.08200443,0.105925468,0.049496186,0.120030807,0.823588342,0.771751654,automl\Xgboost_AutoMl_856
1071,0.3,5,1.5,1,0.3,0.5,0.5,0.883078479,0.944755818,0.075621011,0.098369513,0.060134341,0.107409871,0.810382514,0.777457405,automl\Xgboost_AutoMl_1071
1072,0.3,5,1.5,1,0.3,0.5,0.8,0.883078479,0.944755818,0.075621011,0.098369513,0.060134341,0.107409871,0.810382514,0.777457405,automl\Xgboost_AutoMl_1072
498,0.2,4,1.1,1,0.3,0.8,0.5,0.88266941,0.942986528,0.081773372,0.122993,0.086183002,0.132253381,0.849817851,0.794161454,automl\Xgboost_AutoMl_498
489,0.2,4,1.1,1,0.5,0.8,0.5,0.882596224,0.936063186,0.10023517,0.134136669,0.050369881,0.161038989,0.893260474,0.750995406,automl\Xgboost_AutoMl_489
711,0.2,6,1.1,1,0.3,0.5,0.5,0.882577942,0.941084991,0.07780272,0.097903889,0.064800955,0.106265838,0.825136612,0.769753611,automl\Xgboost_AutoMl_711
712,0.2,6,1.1,1,0.3,0.5,0.8,0.882577942,0.941084991,0.07780272,0.097903889,0.064800955,0.106265838,0.825136612,0.769753611,automl\Xgboost_AutoMl_712
432,0.2,4,0.8,0.5,0.5,0.5,0.5,0.882336169,0.940509954,0.08714916,0.13307055,0.100688177,0.141859919,0.879143898,0.79527105,automl\Xgboost_AutoMl_432
435,0.2,4,0.8,0.5,0.5,0.8,0.5,0.882029469,0.947901847,0.077928373,0.119183713,0.086556505,0.126919754,0.83132969,0.796613867,automl\Xgboost_AutoMl_435
283,0.15,6,1.1,1,0.3,0.8,0.8,0.881900405,0.936016905,0.095812426,0.131038663,0.044590787,0.156564554,0.868943534,0.757883867,automl\Xgboost_AutoMl_283
643,0.2,5,1.5,1,0.3,0.8,0.8,0.881873434,0.936460901,0.089637835,0.118194663,0.043838538,0.138057454,0.840710383,0.765740357,automl\Xgboost_AutoMl_643
614,0.2,5,1.5,0.5,0.5,0.5,1,0.881850132,0.935542081,0.085286963,0.107592884,0.056231553,0.121876667,0.846721311,0.757948802,automl\Xgboost_AutoMl_614
618,0.2,5,1.5,0.5,0.5,1,0.5,0.881850132,0.935542081,0.085286963,0.107592884,0.056231553,0.121876667,0.846721311,0.757948802,automl\Xgboost_AutoMl_618
603,0.2,5,1.1,1,0.3,0.5,0.5,0.881256033,0.942283366,0.081052349,0.114757073,0.075625747,0.124627038,0.836156648,0.78053135,automl\Xgboost_AutoMl_603
604,0.2,5,1.1,1,0.3,0.5,0.8,0.881256033,0.942283366,0.081052349,0.114757073,0.075625747,0.124627038,0.836156648,0.78053135,automl\Xgboost_AutoMl_604
567,0.2,5,0.8,1,0.3,0.5,0.5,0.881216176,0.94241454,0.080944185,0.11554462,0.081082715,0.12411484,0.836703097,0.785750941,automl\Xgboost_AutoMl_567
568,0.2,5,0.8,1,0.3,0.5,0.8,0.881216176,0.94241454,0.080944185,0.11554462,0.081082715,0.12411484,0.836703097,0.785750941,automl\Xgboost_AutoMl_568
747,0.2,6,1.5,1,0.3,0.5,0.5,0.880916988,0.934289136,0.088672941,0.111646222,0.053863135,0.127773556,0.847723133,0.757671958,automl\Xgboost_AutoMl_747
748,0.2,6,1.5,1,0.3,0.5,0.8,0.880916988,0.934289136,0.088672941,0.111646222,0.053863135,0.127773556,0.847723133,0.757671958,automl\Xgboost_AutoMl_748
50,0.15,4,1.1,0.5,0.3,0.8,1,0.880911035,0.942780351,0.08566837,0.119459073,0.047783056,0.137691332,0.826684882,0.768911478,automl\Xgboost_AutoMl_50
52,0.15,4,1.1,0.5,0.3,1,0.8,0.880911035,0.942780351,0.08566837,0.119459073,0.047783056,0.137691332,0.826684882,0.768911478,automl\Xgboost_AutoMl_52
819,0.2,7,1.1,1,0.3,0.5,0.5,0.880649764,0.939207972,0.080431433,0.100472849,0.061412177,0.110327945,0.820856102,0.766150969,automl\Xgboost_AutoMl_819
820,0.2,7,1.1,1,0.3,0.5,0.8,0.880649764,0.939207972,0.080431433,0.100472849,0.061412177,0.110327945,0.820856102,0.766150969,automl\Xgboost_AutoMl_820
423,0.15,7,1.5,1,0.3,0.5,0.5,0.880570468,0.943379076,0.078569919,0.11022928,0.080664313,0.117626159,0.831056466,0.778450776,automl\Xgboost_AutoMl_423
424,0.15,7,1.5,1,0.3,0.5,0.8,0.880570468,0.943379076,0.078569919,0.11022928,0.080664313,0.117626159,0.831056466,0.778450776,automl\Xgboost_AutoMl_424
325,0.15,7,0.8,0.5,0.5,0.5,0.8,0.880532608,0.932747641,0.091616866,0.117178318,0.054031688,0.135722001,0.860746812,0.752528068,automl\Xgboost_AutoMl_325
3,0.15,4,0.8,0.5,0.5,0.8,0.5,0.88051725,0.944004688,0.08089615,0.122188594,0.089954549,0.130226575,0.842167577,0.789970527,automl\Xgboost_AutoMl_3
254,0.15,6,1.1,0.5,0.5,0.5,1,0.880372759,0.934863579,0.086530237,0.10662551,0.05247236,0.121070535,0.833424408,0.759576676,automl\Xgboost_AutoMl_254
258,0.15,6,1.1,0.5,0.5,1,0.5,0.880372759,0.934863579,0.086530237,0.10662551,0.05247236,0.121070535,0.833424408,0.759576676,automl\Xgboost_AutoMl_258
865,0.3,4,0.8,0.5,0.5,0.5,0.8,0.87991835,0.939088554,0.090612845,0.124026203,0.071791406,0.139250612,0.866666667,0.760185333,automl\Xgboost_AutoMl_865
109,0.15,5,0.8,0.5,0.5,0.5,0.8,0.879562418,0.933037746,0.095869319,0.130708712,0.042339062,0.155703399,0.854189435,0.759064422,automl\Xgboost_AutoMl_109
462,0.2,4,0.8,1,0.3,0.8,0.5,0.879299348,0.942993267,0.080667734,0.120977168,0.0939749,0.127629525,0.838160291,0.790262333,automl\Xgboost_AutoMl_462
675,0.2,6,0.8,1,0.3,0.5,0.5,0.879232935,0.937482489,0.082157464,0.105101795,0.075555813,0.11286085,0.834790528,0.765939667,automl\Xgboost_AutoMl_675
676,0.2,6,0.8,1,0.3,0.5,0.8,0.879232935,0.937482489,0.082157464,0.105101795,0.075555813,0.11286085,0.834790528,0.765939667,automl\Xgboost_AutoMl_676
390,0.15,7,1.1,1,0.3,0.8,0.5,0.879189144,0.944040908,0.081752076,0.126712373,0.097655431,0.133936268,0.844262295,0.792951542,automl\Xgboost_AutoMl_390
217,0.15,6,0.8,0.5,0.5,0.5,0.8,0.878951561,0.937276038,0.086072993,0.111269709,0.053539499,0.126461253,0.828142077,0.75917345,automl\Xgboost_AutoMl_217
541,0.2,5,0.8,0.5,0.5,0.5,0.8,0.878923321,0.937561256,0.084026597,0.111197457,0.068615935,0.122133488,0.830510018,0.769308643,automl\Xgboost_AutoMl_541
846,0.2,7,1.5,1,0.5,0.5,0.5,0.878883017,0.933787321,0.092839546,0.120689766,0.051235303,0.140575497,0.85154827,0.752727126,automl\Xgboost_AutoMl_846
973,0.3,5,0.8,0.5,0.5,0.5,0.8,0.878530526,0.934202013,0.091973108,0.118674737,0.055072307,0.136829233,0.850182149,0.752519146,automl\Xgboost_AutoMl_973
1,0.15,4,0.8,0.5,0.5,0.5,0.8,0.878465031,0.938641037,0.088350933,0.130079317,0.080401053,0.142840494,0.846721311,0.784259142,automl\Xgboost_AutoMl_1
639,0.2,5,1.5,1,0.3,0.5,0.5,0.878251917,0.939154983,0.084377854,0.120810186,0.082220231,0.130553321,0.836885246,0.780879541,automl\Xgboost_AutoMl_639
640,0.2,5,1.5,1,0.3,0.5,0.8,0.878251917,0.939154983,0.084377854,0.120810186,0.082220231,0.130553321,0.836885246,0.780879541,automl\Xgboost_AutoMl_640
757,0.2,7,0.8,0.5,0.5,0.5,0.8,0.878169297,0.938683987,0.07663586,0.081425613,0.067555538,0.084976204,0.8071949,0.748753907,automl\Xgboost_AutoMl_757
175,0.15,5,1.1,1,0.3,0.8,0.8,0.877983636,0.933018496,0.094789694,0.127401978,0.041108267,0.150792857,0.838888889,0.75929437,automl\Xgboost_AutoMl_175
499,0.2,4,1.1,1,0.3,0.8,0.8,0.877966867,0.938573219,0.089432939,0.130800231,0.067454256,0.14681767,0.836703097,0.780212314,automl\Xgboost_AutoMl_499
428,0.15,7,1.5,1,0.3,0.8,1,0.877889786,0.932105469,0.093387658,0.115990977,0.032265909,0.139088907,0.830692168,0.746185626,automl\Xgboost_AutoMl_428
430,0.15,7,1.5,1,0.3,1,0.8,0.877889786,0.932105469,0.093387658,0.115990977,0.032265909,0.139088907,0.830692168,0.746185626,automl\Xgboost_AutoMl_430
354,0.15,7,0.8,1,0.3,0.8,0.5,0.877761195,0.944432303,0.080195029,0.121484538,0.097826354,0.127249446,0.832786885,0.788853902,automl\Xgboost_AutoMl_354
794,0.2,7,1.1,0.5,0.5,0.5,1,0.87764761,0.934113715,0.083437588,0.090456312,0.040652444,0.103424567,0.805009107,0.741309179,automl\Xgboost_AutoMl_794
798,0.2,7,1.1,0.5,0.5,1,0.5,0.87764761,0.934113715,0.083437588,0.090456312,0.040652444,0.103424567,0.805009107,0.741309179,automl\Xgboost_AutoMl_798
1002,0.3,5,0.8,1,0.3,0.8,0.5,0.877602207,0.937936881,0.085527294,0.112656145,0.066030944,0.124446803,0.823770492,0.76812025,automl\Xgboost_AutoMl_1002
389,0.15,7,1.1,1,0.3,0.5,1,0.877247331,0.93757147,0.087033398,0.108625285,0.040884913,0.125478205,0.80582878,0.75662733,automl\Xgboost_AutoMl_389
393,0.15,7,1.1,1,0.3,1,0.5,0.877247331,0.93757147,0.087033398,0.108625285,0.040884913,0.125478205,0.80582878,0.75662733,automl\Xgboost_AutoMl_393
822,0.2,7,1.1,1,0.3,0.8,0.5,0.877232685,0.934918496,0.092650822,0.129682733,0.059105807,0.148240393,0.839799636,0.770117342,automl\Xgboost_AutoMl_822
656,0.2,6,0.8,0.5,0.5,1,1,0.876710785,0.936330703,0.086393702,0.09560788,0.060904347,0.10610974,0.841074681,0.725765256,automl\Xgboost_AutoMl_656
823,0.2,7,1.1,1,0.3,0.8,0.8,0.876519171,0.941824146,0.095174959,0.141312899,0.088408217,0.157836764,0.88715847,0.755028485,automl\Xgboost_AutoMl_823
533,0.2,4,1.5,1,0.3,0.5,1,0.876447542,0.9406366,0.081662378,0.109191259,0.064249958,0.119901185,0.804189435,0.768962815,automl\Xgboost_AutoMl_533
537,0.2,4,1.5,1,0.3,1,0.5,0.876447542,0.9406366,0.081662378,0.109191259,0.064249958,0.119901185,0.804189435,0.768962815,automl\Xgboost_AutoMl_537
821,0.2,7,1.1,1,0.3,0.5,1,0.876389347,0.936148938,0.088071998,0.10589737,0.029188149,0.125365375,0.800273224,0.745071438,automl\Xgboost_AutoMl_821
825,0.2,7,1.1,1,0.3,1,0.5,0.876389347,0.936148938,0.088071998,0.10589737,0.029188149,0.125365375,0.800273224,0.745071438,automl\Xgboost_AutoMl_825
738,0.2,6,1.5,1,0.5,0.5,0.5,0.876315542,0.929304961,0.099140975,0.124521531,0.025623423,0.151823472,0.83132969,0.746544533,automl\Xgboost_AutoMl_738
500,0.2,4,1.1,1,0.3,0.8,1,0.87631401,0.937646956,0.088680698,0.11859526,0.049962614,0.137363008,0.829508197,0.74796748,automl\Xgboost_AutoMl_500
502,0.2,4,1.1,1,0.3,1,0.8,0.87631401,0.937646956,0.088680698,0.11859526,0.049962614,0.137363008,0.829508197,0.74796748,automl\Xgboost_AutoMl_502
1039,0.3,5,1.1,1,0.3,0.8,0.8,0.87621389,0.934350578,0.09031069,0.112246717,0.039736477,0.131333158,0.816666667,0.74855998,automl\Xgboost_AutoMl_1039
966,0.3,4,1.5,1,0.3,0.8,0.5,0.87615961,0.939550392,0.079090597,0.103447224,0.095136876,0.105517228,0.822859745,0.772222222,automl\Xgboost_AutoMl_966
479,0.2,4,1.1,0.5,0.3,0.5,1,0.87608617,0.933780463,0.094705558,0.129315051,0.054442941,0.149648836,0.840801457,0.760398649,automl\Xgboost_AutoMl_479
483,0.2,4,1.1,0.5,0.3,1,0.5,0.87608617,0.933780463,0.094705558,0.129315051,0.054442941,0.149648836,0.840801457,0.760398649,automl\Xgboost_AutoMl_483
138,0.15,5,0.8,1,0.3,0.8,0.5,0.875954833,0.937803369,0.08783379,0.126188947,0.078018691,0.1386337,0.836794171,0.773172887,automl\Xgboost_AutoMl_138
471,0.2,4,1.1,0.5,0.5,0.8,0.5,0.875709613,0.945081498,0.077770213,0.117839023,0.106406527,0.120527835,0.82140255,0.789789395,automl\Xgboost_AutoMl_471
1179,0.3,6,1.5,1,0.3,0.5,0.5,0.875696109,0.940377714,0.077371573,0.087480331,0.0434271,0.097722775,0.774134791,0.747943156,automl\Xgboost_AutoMl_1179
1180,0.3,6,1.5,1,0.3,0.5,0.8,0.875696109,0.940377714,0.077371573,0.087480331,0.0434271,0.097722775,0.774134791,0.747943156,automl\Xgboost_AutoMl_1180
