,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,,,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
392,0.35,6,1.5,1,0.3,0.8,0.5,0.872650465,0.932635313,0.096040363,0.116564835,0.074669989,0.129436352,0.827635103,0.762907559,<-2021,2023->,0.89701511,0.950938368,0.061033854,0.089499576,0.073145657,0.092838368,0.852147637,0.802683745,automl\Xgboost_AutoMl2023_392
242,0.3,6,1.5,0.8,0.3,0.8,0.5,0.82829997,0.910802645,0.122172862,0.147970748,0.192047788,0.125347322,0.872223098,0.648965477,,,0.895563463,0.94928783,0.07184261,0.107706718,0.06367167,0.117811937,0.880207209,0.787106736,automl\Xgboost_AutoMl2023_242
368,0.35,6,0.8,1,0.3,0.8,0.5,0.908842016,0.950349702,0.082648941,0.109677726,0.037020127,0.134522495,0.920434851,0.811614337,,,0.893883424,0.946311835,0.066040487,0.095736952,0.065655179,0.101988156,0.849989208,0.794432116,automl\Xgboost_AutoMl2023_368
548,0.4,7,0.8,1,0.3,0.8,0.5,0.866697155,0.926796662,0.096557299,0.101373939,0.067041262,0.111727925,0.797542146,0.740816625,,,0.892978691,0.943572313,0.070551766,0.089087444,0.039126428,0.099815973,0.83962875,0.773436723,automl\Xgboost_AutoMl2023_548
572,0.4,7,1.5,1,0.3,0.8,0.5,0.87305756,0.927439349,0.103908357,0.133593453,0.087031096,0.149661472,0.87064755,0.764791364,,,0.892624708,0.945243665,0.068586741,0.093122434,0.056619491,0.101236461,0.854090222,0.774743025,automl\Xgboost_AutoMl2023_572
428,0.35,7,1.5,1,0.3,0.8,0.5,0.879596173,0.936115222,0.089919493,0.10846524,0.07992324,0.117439248,0.846699228,0.77307056,,,0.891799132,0.944641568,0.0671125,0.099105688,0.062911983,0.106572018,0.843945608,0.791337786,automl\Xgboost_AutoMl2023_428
500,0.4,5,1.5,1,0.3,0.8,0.5,0.8128723,0.890028454,0.127251481,0.135086109,0.14970576,0.128702188,0.77910824,0.620140456,,,0.891399171,0.945045604,0.072865612,0.109808106,0.053950216,0.122121272,0.85840708,0.781566277,automl\Xgboost_AutoMl2023_500
284,0.3,7,1.5,1,0.3,0.8,0.5,0.885924428,0.93768155,0.096689336,0.123820755,0.055616239,0.14664012,0.875216638,0.778774709,,,0.891084708,0.94360808,0.070151508,0.104546491,0.053729952,0.115302779,0.846535722,0.784792396,automl\Xgboost_AutoMl2023_284
260,0.3,7,0.8,1,0.3,0.8,0.5,0.898430297,0.94630999,0.090138976,0.117728251,0.049938499,0.141222611,0.906885143,0.795192374,,,0.891021427,0.940347835,0.073104092,0.098858083,0.040600499,0.111892991,0.849773365,0.768570034,automl\Xgboost_AutoMl2023_260
386,0.35,6,1.5,0.8,0.3,0.8,0.5,0.857272853,0.913633147,0.112624568,0.11998702,0.077686803,0.134925463,0.823696234,0.716606127,,,0.889870106,0.947709732,0.0723818,0.105475011,0.056030337,0.11604516,0.845240665,0.780157386,automl\Xgboost_AutoMl2023_386
536,0.4,6,1.5,1,0.3,0.8,0.5,0.850759972,0.91417569,0.107017372,0.11843105,0.07969294,0.129828533,0.771545612,0.723979894,,,0.889100066,0.944510622,0.069583723,0.104795726,0.067407231,0.112519163,0.842434708,0.789441748,automl\Xgboost_AutoMl2023_536
140,0.2,7,1.5,1,0.3,0.8,0.5,0.878555357,0.93315518,0.096665788,0.122636761,0.073224699,0.138610657,0.857097841,0.773606371,,,0.888942212,0.943424621,0.07179454,0.114084186,0.068987342,0.12365137,0.854090222,0.791004498,automl\Xgboost_AutoMl2023_140
28,0.2,4,1.5,0.8,0.4,0.8,0.5,0.846819087,0.9218163,0.108838043,0.159464037,0.175019701,0.154523651,0.839294155,0.763125851,,,0.888866621,0.942879758,0.072853137,0.120733694,0.076194766,0.129972267,0.857759551,0.802342015,automl\Xgboost_AutoMl2023_28
236,0.3,6,1.1,1,0.3,0.8,0.5,0.906449095,0.946879868,0.0888713,0.11096619,0.024836245,0.141383225,0.917913975,0.798574464,,,0.88850875,0.941615176,0.071082233,0.101695771,0.059874954,0.110700428,0.844808979,0.777281303,automl\Xgboost_AutoMl2023_236
314,0.35,4,1.5,0.8,0.3,0.8,0.5,0.857217187,0.932606054,0.100434335,0.120629669,0.06352417,0.139351171,0.788088861,0.707196381,,,0.888012562,0.948268053,0.068675094,0.105703069,0.095344568,0.107870425,0.853874379,0.795655672,automl\Xgboost_AutoMl2023_314
476,0.4,5,0.8,1,0.3,0.8,0.5,0.826583876,0.901099701,0.12097168,0.137756426,0.128527784,0.141249891,0.783519773,0.662139671,,,0.887978068,0.941395299,0.073555145,0.096403206,0.045159413,0.107796384,0.839844593,0.76174628,automl\Xgboost_AutoMl2023_476
530,0.4,6,1.5,0.8,0.3,0.8,0.5,0.843748137,0.913151391,0.121137071,0.142372103,0.136565217,0.144974327,0.866866236,0.68254559,,,0.887867084,0.947867935,0.072635964,0.108073239,0.074153122,0.116051954,0.867256637,0.766940256,automl\Xgboost_AutoMl2023_530
482,0.4,5,1.1,0.8,0.3,0.8,0.5,0.816753694,0.887358874,0.125028089,0.124254464,0.121519136,0.125264413,0.746494407,0.637470568,,,0.887846583,0.945081503,0.073629392,0.106232488,0.061612022,0.115951833,0.847614936,0.775856959,automl\Xgboost_AutoMl2023_482
458,0.4,4,1.5,0.8,0.3,0.8,0.5,0.872837437,0.937828881,0.09297924,0.101366025,0.053820554,0.116200781,0.80762565,0.739735912,,,0.886978128,0.949884916,0.064724434,0.096937512,0.085913556,0.099129042,0.829268293,0.790291062,automl\Xgboost_AutoMl2023_458
338,0.35,5,1.1,0.8,0.3,0.8,0.5,0.820930093,0.884800587,0.123299685,0.119925288,0.080891892,0.131867042,0.709626595,0.655270241,,,0.886599699,0.942932814,0.07689794,0.115587737,0.062697699,0.12729805,0.854953594,0.776895165,automl\Xgboost_AutoMl2023_338
488,0.4,5,1.1,1,0.3,0.8,0.5,0.853498826,0.915285599,0.108046735,0.120211789,0.074628764,0.133846391,0.780841342,0.727753304,,,0.886561949,0.942234333,0.072068857,0.104038249,0.059470327,0.113572276,0.838765379,0.773949412,automl\Xgboost_AutoMl2023_488
362,0.35,6,0.8,0.8,0.3,0.8,0.5,0.820399746,0.896428394,0.116765293,0.125066481,0.092379417,0.134598871,0.70048842,0.659692856,,,0.886245223,0.946314307,0.071828069,0.110725223,0.087761941,0.115514628,0.849125836,0.792346425,automl\Xgboost_AutoMl2023_362
86,0.2,6,1.1,0.8,0.3,0.8,0.5,0.835266723,0.905405557,0.11339575,0.122513296,0.098206695,0.130118454,0.752166378,0.688144144,,,0.885916775,0.946465992,0.07472689,0.117764058,0.074007535,0.127191819,0.851931794,0.78360135,automl\Xgboost_AutoMl2023_86
171,0.3,4,1.5,0.8,0.3,0.8,0.8,0.837824664,0.898904374,0.120267072,0.133636191,0.102031439,0.144845184,0.794233496,0.689744818,,,0.885651709,0.943988764,0.074370858,0.117498534,0.061361897,0.129023011,0.836822793,0.786329987,automl\Xgboost_AutoMl2023_171
518,0.4,6,1.1,0.8,0.3,0.8,0.5,0.838977822,0.918608715,0.107910691,0.123155945,0.092963738,0.13202146,0.742240429,0.697048162,,,0.885589121,0.944904798,0.072553069,0.105491301,0.083621617,0.110349393,0.854737751,0.775558167,automl\Xgboost_AutoMl2023_518
158,0.3,4,1.1,0.8,0.3,0.8,0.5,0.863149987,0.930587651,0.101989547,0.134983221,0.11108837,0.14350786,0.855364739,0.741008667,,,0.88539592,0.944336128,0.073817504,0.111142243,0.076219058,0.118552782,0.845888193,0.783330002,automl\Xgboost_AutoMl2023_158
272,0.3,7,1.1,1,0.3,0.8,0.5,0.883898911,0.941667618,0.097520283,0.129842029,0.072891602,0.150455957,0.893020325,0.768959436,,,0.885088525,0.938097457,0.07447496,0.101912426,0.055476529,0.112329477,0.842866393,0.761431218,automl\Xgboost_AutoMl2023_272
356,0.35,5,1.5,1,0.3,0.8,0.5,0.862551786,0.920846437,0.106791583,0.116875079,0.061941314,0.134640119,0.809516307,0.730555951,,,0.885075239,0.94212037,0.074139288,0.105991399,0.061972212,0.115690601,0.842866393,0.767567568,automl\Xgboost_AutoMl2023_356
410,0.35,7,1.1,0.8,0.3,0.8,0.5,0.817413541,0.888858154,0.130654814,0.139397873,0.162486709,0.12815398,0.822593351,0.625569135,,,0.884591856,0.945793894,0.076017489,0.109953085,0.076474646,0.117749839,0.860133823,0.764068642,automl\Xgboost_AutoMl2023_410
104,0.2,6,1.5,1,0.3,0.8,0.5,0.843459892,0.92878883,0.094287441,0.12691845,0.145776656,0.121709224,0.763667875,0.735285194,,,0.884582676,0.945097922,0.069466633,0.113093764,0.084041731,0.118986598,0.837686164,0.791314099,automl\Xgboost_AutoMl2023_104
350,0.35,5,1.5,0.8,0.3,0.8,0.5,0.792067528,0.879146097,0.12671304,0.124113587,0.170042632,0.105389929,0.711359697,0.582768635,,,0.884092466,0.945728079,0.072804999,0.10480387,0.064605188,0.113084948,0.82603065,0.775010126,automl\Xgboost_AutoMl2023_350
93,0.2,6,1.1,1,0.3,0.8,0.8,0.89504,0.95172719,0.091911592,0.131529378,0.070992572,0.153271159,0.919016858,0.793929495,,,0.883764414,0.938681805,0.07999899,0.121971721,0.056729055,0.136563148,0.851931794,0.770672654,automl\Xgboost_AutoMl2023_93
116,0.2,7,0.8,1,0.3,0.8,0.5,0.859386362,0.929781978,0.100423056,0.136919083,0.115187877,0.143441307,0.817866709,0.761199501,,,0.883556945,0.942299191,0.073661561,0.114356226,0.065740031,0.124309208,0.830995036,0.781805259,automl\Xgboost_AutoMl2023_116
44,0.2,5,0.8,1,0.3,0.8,0.5,0.849482317,0.923391473,0.100124545,0.126212486,0.135082161,0.12360286,0.791870175,0.743051449,,,0.883497737,0.942717973,0.07661304,0.130367499,0.083510837,0.140263199,0.855169437,0.793590386,automl\Xgboost_AutoMl2023_44
16,0.2,4,1.1,0.8,0.4,0.8,0.5,0.845800557,0.916922487,0.111630372,0.161122895,0.159795515,0.161541986,0.832046636,0.758382997,,,0.883470158,0.940799191,0.075096244,0.118431941,0.071503759,0.128271065,0.841571336,0.783482367,automl\Xgboost_AutoMl2023_16
74,0.2,6,0.8,0.8,0.3,0.8,0.5,0.840278999,0.920155771,0.100706462,0.121019058,0.138051234,0.116163907,0.759413896,0.721881084,,,0.883415121,0.947353903,0.07343403,0.125713494,0.09395146,0.132303304,0.850636736,0.795599071,automl\Xgboost_AutoMl2023_74
230,0.3,6,1.1,0.8,0.3,0.8,0.5,0.855876373,0.9149304,0.112368573,0.131657591,0.09646246,0.144471434,0.839609264,0.7212072,,,0.883337185,0.94540159,0.074780089,0.109231446,0.076838299,0.116681026,0.853226851,0.762244504,automl\Xgboost_AutoMl2023_230
170,0.3,4,1.5,0.8,0.3,0.8,0.5,0.832992199,0.925092444,0.100963786,0.117482905,0.08343783,0.12650787,0.694658894,0.68008638,,,0.883310586,0.94942148,0.066908094,0.107542191,0.102331908,0.108591671,0.835527736,0.791696492,automl\Xgboost_AutoMl2023_170
128,0.2,7,1.1,1,0.3,0.8,0.5,0.865512112,0.927598714,0.107428876,0.142345194,0.085448253,0.160324751,0.837561052,0.763135228,,,0.883178056,0.939322335,0.077442338,0.123644686,0.061863619,0.136780973,0.842866393,0.779830255,automl\Xgboost_AutoMl2023_128
224,0.3,6,0.8,1,0.3,0.8,0.5,0.862963112,0.919684426,0.107820257,0.128558313,0.078684343,0.14530107,0.832991965,0.740165197,,,0.883108364,0.934891601,0.078756003,0.111878543,0.052654321,0.125297714,0.846104036,0.760943415,automl\Xgboost_AutoMl2023_224
566,0.4,7,1.5,0.8,0.3,0.8,0.5,0.846823508,0.917981017,0.106813797,0.110869634,0.098447524,0.11493864,0.77942335,0.699667633,,,0.882833152,0.945976558,0.0698236,0.090579592,0.087860599,0.09115655,0.830347507,0.768938637,automl\Xgboost_AutoMl2023_566
92,0.2,6,1.1,1,0.3,0.8,0.5,0.841304488,0.925835269,0.098053498,0.132268583,0.156781667,0.12532701,0.772648495,0.736446914,,,0.882585566,0.942698394,0.070775546,0.110888121,0.079570932,0.117237461,0.829915821,0.784133782,automl\Xgboost_AutoMl2023_92
416,0.35,7,1.1,1,0.3,0.8,0.5,0.88173633,0.930568113,0.104500317,0.127888755,0.060122794,0.15126996,0.879628171,0.772733564,,,0.882463253,0.938831406,0.074684273,0.099245781,0.058037674,0.10817807,0.828189078,0.75972676,automl\Xgboost_AutoMl2023_416
110,0.2,7,0.8,0.8,0.3,0.8,0.5,0.837952168,0.903039913,0.116046836,0.134183867,0.117289109,0.139590472,0.782731999,0.709460907,,,0.882425576,0.941444264,0.080184756,0.120536587,0.059815813,0.133983644,0.845456508,0.768189841,automl\Xgboost_AutoMl2023_110
508,0.4,6,0.8,0.8,0.4,0.8,0.5,0.828562883,0.888566405,0.11391305,0.108938521,0.110198407,0.108560996,0.733102253,0.682758621,,,0.882239058,0.940271402,0.07030126,0.096510719,0.073215319,0.101243581,0.819555364,0.773634882,automl\Xgboost_AutoMl2023_508
4,0.2,4,0.8,0.8,0.4,0.8,0.5,0.82703532,0.90885885,0.113849966,0.155983285,0.157307908,0.155597899,0.762092327,0.718401901,,,0.88204986,0.940924733,0.07511474,0.124141526,0.07732222,0.133666928,0.837686164,0.790266748,automl\Xgboost_AutoMl2023_4
122,0.2,7,1.1,0.8,0.3,0.8,0.5,0.851233789,0.923752346,0.10402662,0.137267317,0.126367082,0.140595041,0.806207657,0.74510375,,,0.881914294,0.943775849,0.076939881,0.124874568,0.080539719,0.134047656,0.841787179,0.788276908,automl\Xgboost_AutoMl2023_122
188,0.3,5,0.8,1,0.3,0.8,0.5,0.870826112,0.931933033,0.098747353,0.12412625,0.076830834,0.138598214,0.828107767,0.764620308,,,0.881304459,0.941852324,0.071922185,0.103956799,0.069003868,0.111036671,0.817828621,0.773028665,automl\Xgboost_AutoMl2023_188
512,0.4,6,0.8,1,0.3,0.8,0.5,0.900507037,0.947090189,0.085410963,0.106899772,0.040407779,0.129337793,0.895068536,0.793602012,,,0.881112677,0.937625263,0.075917472,0.096373884,0.048254584,0.107281592,0.826462335,0.743134401,automl\Xgboost_AutoMl2023_512
27,0.2,4,1.5,0.8,0.3,0.8,0.8,0.817618751,0.901129744,0.10943014,0.10019786,0.082542426,0.104652315,0.648810462,0.647942727,,,0.880986532,0.943838032,0.074052332,0.118878282,0.078004992,0.127230636,0.830779193,0.782237577,automl\Xgboost_AutoMl2023_27
290,0.35,4,0.8,0.8,0.3,0.8,0.5,0.843691599,0.924515888,0.098409633,0.102268266,0.079138281,0.108731621,0.723806523,0.693643364,,,0.880770606,0.948410122,0.065530878,0.100144979,0.103173284,0.099539697,0.822793007,0.782269649,automl\Xgboost_AutoMl2023_290
64,0.2,5,1.5,0.8,0.4,0.8,0.5,0.865548599,0.924360996,0.111794134,0.148520008,0.081734955,0.170455884,0.849377659,0.761602034,,,0.880713844,0.937817038,0.081227887,0.130603701,0.068506255,0.143968248,0.847183251,0.779620618,automl\Xgboost_AutoMl2023_64
206,0.3,5,1.5,0.8,0.3,0.8,0.5,0.820153924,0.89871834,0.115640937,0.117899202,0.121627409,0.116547321,0.740349772,0.637022978,,,0.880483302,0.948131243,0.067050641,0.095937317,0.101854599,0.094770662,0.817612778,0.781998348,automl\Xgboost_AutoMl2023_206
15,0.2,4,1.1,0.8,0.3,0.8,0.8,0.797288913,0.880386813,0.116941405,0.105961124,0.093976457,0.108764991,0.601386482,0.61883917,,,0.880373909,0.942487363,0.076170925,0.125749332,0.073612717,0.136359003,0.831210878,0.784078184,automl\Xgboost_AutoMl2023_15
496,0.4,5,1.5,0.8,0.4,0.8,0.5,0.806363242,0.872998883,0.129411945,0.127178042,0.125851423,0.127605148,0.707735938,0.63988604,,,0.880260864,0.938532029,0.081548595,0.124027497,0.061138968,0.138012744,0.84416145,0.765586767,automl\Xgboost_AutoMl2023_496
310,0.35,4,1.1,1,0.4,0.8,0.5,0.822083965,0.897998458,0.111039596,0.106614854,0.103849201,0.107393995,0.693556011,0.662452972,,,0.880206586,0.941209666,0.073999026,0.103500684,0.069862825,0.110732098,0.826462335,0.760930048,automl\Xgboost_AutoMl2023_310
80,0.2,6,0.8,1,0.3,0.8,0.5,0.826056483,0.927669105,0.094174846,0.128464923,0.163068804,0.119681062,0.708523712,0.705854654,,,0.879903897,0.945790328,0.067855476,0.109482309,0.096404416,0.112043675,0.820418735,0.786956522,automl\Xgboost_AutoMl2023_80
506,0.4,6,0.8,0.8,0.3,0.8,0.5,0.811641788,0.90005362,0.110688802,0.102857098,0.121558673,0.098057644,0.655112652,0.64978903,,,0.879496351,0.944277126,0.072310284,0.093384701,0.070056742,0.098141793,0.807468163,0.76098454,automl\Xgboost_AutoMl2023_506
98,0.2,6,1.5,0.8,0.3,0.8,0.5,0.85339284,0.922447568,0.103014203,0.120892428,0.115435819,0.122605974,0.803371672,0.733880253,,,0.87945637,0.94941678,0.070134655,0.115994983,0.099525879,0.119247425,0.824735592,0.788241362,automl\Xgboost_AutoMl2023_98
99,0.2,6,1.5,0.8,0.3,0.8,0.8,0.824400737,0.890094042,0.116345601,0.118799861,0.096012899,0.125076718,0.7064755,0.680993242,,,0.879041642,0.944279084,0.072699931,0.113082361,0.070199365,0.12150918,0.810058278,0.775894149,automl\Xgboost_AutoMl2023_99
178,0.3,4,1.5,1,0.4,0.8,0.5,0.845729633,0.910367423,0.110147713,0.127034,0.097684697,0.1363004,0.784149992,0.71472679,,,0.879005512,0.937989548,0.079453868,0.11963413,0.073300757,0.130152908,0.847183251,0.76124903,automl\Xgboost_AutoMl2023_178
434,0.4,4,0.8,0.8,0.3,0.8,0.5,0.821881678,0.912034139,0.108109321,0.112120109,0.081162505,0.120818971,0.675122105,0.645525761,,,0.878998158,0.945865543,0.070694993,0.109830912,0.104408296,0.11090815,0.825814807,0.787242798,automl\Xgboost_AutoMl2023_434
332,0.35,5,0.8,1,0.3,0.8,0.5,0.884624814,0.935994708,0.096763284,0.120710396,0.047783267,0.144594453,0.862612258,0.774398868,,,0.878907526,0.937976466,0.076013513,0.105773115,0.053486129,0.117043879,0.818260306,0.752481143,automl\Xgboost_AutoMl2023_332
182,0.3,5,0.8,0.8,0.3,0.8,0.5,0.8338531,0.900711017,0.116891765,0.133724832,0.104086022,0.142856551,0.758626123,0.698484079,,,0.878816274,0.942070921,0.077709384,0.121805565,0.080980684,0.130489925,0.837038636,0.774283718,automl\Xgboost_AutoMl2023_182
442,0.4,4,0.8,1,0.4,0.8,0.5,0.847200838,0.923913508,0.109622521,0.126901038,0.099887154,0.13636762,0.798645029,0.697057206,,,0.878791633,0.94106288,0.078912643,0.104096892,0.094217434,0.106525754,0.861860566,0.747053321,automl\Xgboost_AutoMl2023_442
380,0.35,6,1.1,1,0.3,0.8,0.5,0.891117562,0.939064906,0.099864752,0.119792326,0.044839423,0.147805949,0.904049157,0.768087812,,,0.878724115,0.93529733,0.078862184,0.102624291,0.062800135,0.112128733,0.841787179,0.739546791,automl\Xgboost_AutoMl2023_380
278,0.3,7,1.5,0.8,0.3,0.8,0.5,0.839570563,0.897654276,0.123487646,0.134183867,0.096523705,0.147353017,0.797384591,0.696579726,,,0.878630452,0.943333748,0.075422826,0.108540757,0.082297675,0.114552717,0.841571336,0.753138884,automl\Xgboost_AutoMl2023_278
62,0.2,5,1.5,0.8,0.3,0.8,0.5,0.819257349,0.896021674,0.116948132,0.117292959,0.121858485,0.11560807,0.741925319,0.633696676,,,0.878306406,0.944981176,0.075174377,0.125434938,0.102066872,0.130189179,0.837470322,0.790063124,automl\Xgboost_AutoMl2023_62
524,0.4,6,1.1,1,0.3,0.8,0.5,0.870040188,0.928925193,0.109169964,0.142383183,0.083121737,0.163948618,0.874586419,0.751404399,,,0.87810008,0.933044679,0.082197502,0.115028996,0.055644599,0.128688787,0.838981222,0.749445676,automl\Xgboost_AutoMl2023_524
374,0.35,6,1.1,0.8,0.3,0.8,0.5,0.858965557,0.918083967,0.108400528,0.125645815,0.098632028,0.134758679,0.831258862,0.737128886,,,0.877837036,0.946717527,0.073000291,0.104466671,0.111132812,0.102798371,0.865098209,0.743806254,automl\Xgboost_AutoMl2023_374
212,0.3,5,1.5,1,0.3,0.8,0.5,0.884460961,0.940486585,0.096663287,0.128411105,0.062966406,0.149866535,0.871907988,0.782411989,,,0.877509159,0.939918928,0.072882274,0.101110966,0.070362122,0.107330591,0.806604792,0.762886598,automl\Xgboost_AutoMl2023_212
111,0.2,7,0.8,0.8,0.3,0.8,0.8,0.840710885,0.898481028,0.118451597,0.130878815,0.091363057,0.143946415,0.784780211,0.701697542,,,0.877284055,0.936754603,0.082156875,0.115959145,0.050385538,0.131354091,0.835743579,0.739707708,automl\Xgboost_AutoMl2023_111
344,0.35,5,1.1,1,0.3,0.8,0.5,0.860889579,0.916556049,0.110949634,0.130934216,0.058935235,0.153367381,0.808570978,0.741029529,,,0.87702273,0.939595076,0.075174402,0.110301688,0.066213349,0.119261074,0.809842435,0.764388306,automl\Xgboost_AutoMl2023_344
34,0.2,4,1.5,1,0.4,0.8,0.5,0.826467931,0.901990022,0.110470865,0.115824047,0.10764817,0.118102332,0.70978415,0.680976495,,,0.876919629,0.938463846,0.077424877,0.122048283,0.08333179,0.1303157,0.834880207,0.770978673,automl\Xgboost_AutoMl2023_34
32,0.2,4,1.5,1,0.3,0.8,0.5,0.888615311,0.940362921,0.088946788,0.115339686,0.07029148,0.129567608,0.871592879,0.794314021,,,0.876814796,0.94076935,0.078836301,0.136766143,0.094961165,0.145194566,0.837470322,0.793212716,automl\Xgboost_AutoMl2023_32
50,0.2,5,1.1,0.8,0.3,0.8,0.5,0.819883797,0.900555725,0.113335347,0.130514752,0.158161412,0.122812184,0.725066961,0.69569161,,,0.87651675,0.941724484,0.078302943,0.123970483,0.082803907,0.132509539,0.827973235,0.774480113,automl\Xgboost_AutoMl2023_50
248,0.3,6,1.5,1,0.3,0.8,0.5,0.888821075,0.937543898,0.099739514,0.123307902,0.0403145,0.152805192,0.888136127,0.770608339,,,0.876243818,0.934098931,0.080458275,0.117860168,0.057982583,0.130966563,0.825598964,0.754066042,automl\Xgboost_AutoMl2023_248
448,0.4,4,1.1,0.8,0.4,0.8,0.5,0.809397819,0.901562525,0.115594907,0.127899835,0.14140125,0.124252081,0.679533638,0.660186744,,,0.876159368,0.936138928,0.080383037,0.12049912,0.06692762,0.131764323,0.823224692,0.765402368,automl\Xgboost_AutoMl2023_448
20,0.2,4,1.1,1,0.3,0.8,0.5,0.885915136,0.941221361,0.087054977,0.116368558,0.084719989,0.12616067,0.866236017,0.79617696,,,0.876086896,0.942018375,0.076337933,0.131170587,0.096602374,0.137986076,0.827325707,0.791288192,automl\Xgboost_AutoMl2023_20
57,0.2,5,1.1,1,0.3,0.8,0.8,0.886981985,0.941341058,0.094112155,0.121979866,0.063020767,0.141632899,0.877579959,0.782083684,,,0.876050145,0.938085369,0.077984079,0.123452466,0.075771033,0.133005162,0.818260306,0.777162772,automl\Xgboost_AutoMl2023_57
296,0.35,4,0.8,1,0.3,0.8,0.5,0.893853122,0.947984795,0.087209486,0.126934279,0.072414549,0.145384729,0.90247361,0.799218641,,,0.875481355,0.935868638,0.079227687,0.12032319,0.065432974,0.13175064,0.818044464,0.763958879,automl\Xgboost_AutoMl2023_296
59,0.2,5,1.1,1,0.4,0.8,0.8,0.848169853,0.917777231,0.103412321,0.11138407,0.081146059,0.119858752,0.749645502,0.717538833,,,0.875283881,0.937961219,0.074422963,0.097844856,0.051812314,0.106877704,0.785236348,0.75258585,automl\Xgboost_AutoMl2023_59
564,0.4,7,1.5,0.8,0.2,0.8,0.5,0.893044673,0.948478979,0.092756185,0.13217361,0.061715507,0.156836054,0.905624705,0.790809658,,,0.875042064,0.933724028,0.077815448,0.11941096,0.071409756,0.129032227,0.813080078,0.772084444,automl\Xgboost_AutoMl2023_564
565,0.4,7,1.5,0.8,0.2,0.8,0.8,0.893044673,0.948478979,0.092756185,0.13217361,0.061715507,0.156836054,0.905624705,0.790809658,,,0.875042064,0.933724028,0.077815448,0.11941096,0.071409756,0.129032227,0.813080078,0.772084444,automl\Xgboost_AutoMl2023_565
298,0.35,4,0.8,1,0.4,0.8,0.5,0.836694578,0.906107309,0.107083928,0.101062112,0.091608142,0.104103728,0.742397983,0.671416358,,,0.874951526,0.934220315,0.077486152,0.091042223,0.049410504,0.100328738,0.804662206,0.728765517,automl\Xgboost_AutoMl2023_298
