,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
4946,0.1,6,0.566666667,0.733333333,0.733333333,0.8,1,0.872964471,0.931442242,0.095866018,0.113927111,0.075759301,0.152094921,0.839924374,0.77020877,automl\Xgboost_AutoMl_4946
4948,0.1,6,0.566666667,0.733333333,0.733333333,1,0.8,0.872964471,0.931442242,0.095866018,0.113927111,0.075759301,0.152094921,0.839924374,0.77020877,automl\Xgboost_AutoMl_4948
3785,0.1,4,0.566666667,0.733333333,0.6,0.8,1,0.858130382,0.926057198,0.099391426,0.124608485,0.096070201,0.15029294,0.747439735,0.730464239,automl\Xgboost_AutoMl_3785
3787,0.1,4,0.566666667,0.733333333,0.6,1,0.8,0.858130382,0.926057198,0.099391426,0.124608485,0.096070201,0.15029294,0.747439735,0.730464239,automl\Xgboost_AutoMl_3787
3937,0.1,4,0.7,0.733333333,0.733333333,0.8,0.8,0.824144552,0.92426004,0.094637397,0.16103832,0.187621322,0.137113618,0.582479912,0.627993885,automl\Xgboost_AutoMl_3937
4802,0.1,6,0.433333333,0.733333333,0.733333333,0.8,1,0.854670574,0.92397909,0.099315224,0.097770359,0.054954182,0.136304917,0.702851741,0.691788788,automl\Xgboost_AutoMl_4802
4804,0.1,6,0.433333333,0.733333333,0.733333333,1,0.8,0.854670574,0.92397909,0.099315224,0.097770359,0.054954182,0.136304917,0.702851741,0.691788788,automl\Xgboost_AutoMl_4804
3793,0.1,4,0.566666667,0.733333333,0.733333333,0.8,0.8,0.826139169,0.923975729,0.094048036,0.177505291,0.229306362,0.130884326,0.619820388,0.652134273,automl\Xgboost_AutoMl_3793
1225,0.01,6,0.3,0.866666667,0.6,0.6,0.8,0.788740354,0.923779261,0.146493913,0.286179752,0.289805416,0.28436692,0.632582322,0.66385582,automl\Xgboost_AutoMl_1225
1369,0.01,6,0.433333333,0.866666667,0.6,0.6,0.8,0.788740354,0.923779261,0.146493913,0.286179752,0.289805416,0.28436692,0.632582322,0.66385582,automl\Xgboost_AutoMl_1369
3792,0.1,4,0.566666667,0.733333333,0.733333333,0.8,0.6,0.841266304,0.923629503,0.09708389,0.149041294,0.163132336,0.136359357,0.667086813,0.687560896,automl\Xgboost_AutoMl_3792
