,学习率,叶子节点数量,叶子节点最小样本数量,子采样率,特征采样率,最大深度,max_bin,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,15,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,24
506,0.95,9,14,0.6,0.5,4,100,0.889456668,0.954336606,0.088244314,0.131573699,0.097254267,0.144198458,0.916023318,0.783452365,automl\lightGBM_AutoMl2021_506,0.817056395,0.895166823,0.100280353,0.112881996,0.150631798,0.103226004,0.740556875,0.630408819,automl\lightGBM_AutoMl2023_506
548,0.95,9,14,0.7,0.5,4,100,0.889456668,0.954336606,0.088244314,0.131573699,0.097254267,0.144198458,0.916023318,0.783452365,automl\lightGBM_AutoMl2021_548,0.817056395,0.895166823,0.100280353,0.112881996,0.150631798,0.103226004,0.740556875,0.630408819,automl\lightGBM_AutoMl2023_548
590,0.95,9,14,0.8,0.5,4,100,0.889456668,0.954336606,0.088244314,0.131573699,0.097254267,0.144198458,0.916023318,0.783452365,automl\lightGBM_AutoMl2021_590,0.817056395,0.895166823,0.100280353,0.112881996,0.150631798,0.103226004,0.740556875,0.630408819,automl\lightGBM_AutoMl2023_590
632,0.95,9,14,1,0.5,4,100,0.889456668,0.954336606,0.088244314,0.131573699,0.097254267,0.144198458,0.916023318,0.783452365,automl\lightGBM_AutoMl2021_632,0.817056395,0.895166823,0.100280353,0.112881996,0.150631798,0.103226004,0.740556875,0.630408819,automl\lightGBM_AutoMl2023_632
2353,0.95,11,19,0.6,0.5,4,60,0.888432519,0.940176924,0.088315594,0.101771242,0.064997461,0.113989878,0.869544667,0.775957821,automl\lightGBM_AutoMl2021_2353,0.852983754,0.927406299,0.071304133,0.072874177,0.075559824,0.072406175,0.702136844,0.708097519,automl\lightGBM_AutoMl2023_2353
2395,0.95,11,19,0.7,0.5,4,60,0.888432519,0.940176924,0.088315594,0.101771242,0.064997461,0.113989878,0.869544667,0.775957821,automl\lightGBM_AutoMl2021_2395,0.852983754,0.927406299,0.071304133,0.072874177,0.075559824,0.072406175,0.702136844,0.708097519,automl\lightGBM_AutoMl2023_2395
2437,0.95,11,19,0.8,0.5,4,60,0.888432519,0.940176924,0.088315594,0.101771242,0.064997461,0.113989878,0.869544667,0.775957821,automl\lightGBM_AutoMl2021_2437,0.852983754,0.927406299,0.071304133,0.072874177,0.075559824,0.072406175,0.702136844,0.708097519,automl\lightGBM_AutoMl2023_2437
2479,0.95,11,19,1,0.5,4,60,0.888432519,0.940176924,0.088315594,0.101771242,0.064997461,0.113989878,0.869544667,0.775957821,automl\lightGBM_AutoMl2021_2479,0.852983754,0.927406299,0.071304133,0.072874177,0.075559824,0.072406175,0.702136844,0.708097519,automl\lightGBM_AutoMl2023_2479
361,0.95,9,12,0.6,0.3,5,60,0.887995858,0.961376244,0.08339001,0.136936495,0.133260043,0.138271339,0.924846384,0.795339069,automl\lightGBM_AutoMl2021_361,0.825578311,0.888395287,0.095830155,0.107227797,0.068229167,0.114629041,0.677530758,0.658830937,automl\lightGBM_AutoMl2023_361
403,0.95,9,12,0.7,0.3,5,60,0.887995858,0.961376244,0.08339001,0.136936495,0.133260043,0.138271339,0.924846384,0.795339069,automl\lightGBM_AutoMl2021_403,0.825578311,0.888395287,0.095830155,0.107227797,0.068229167,0.114629041,0.677530758,0.658830937,automl\lightGBM_AutoMl2023_403
