,字段名称,偏离度,完整度,自编写,person,spearman,kendall
0,唯一性ID（必填）,0.999514363,1,0,0,0,0
117,自增编号,0.999514363,1,0,0,0,0
229,最后跟进时间,0.999171723,1,0,0,0,0
214,创建时间,0.999167839,1,0,0,0,0
231,最后修改时间,0.99907556,1,0,0,0,0
228,最后跟进人,0.941546396,1,0,0,0,0
213,创建人,0.932246959,1,0,0,0,0
230,最后修改人,0.897906376,1,0.891574901,0.163375195,0.089614966,0.086253534
232,状态,0,1,1,1,1,1
233,锁定状态,0,1,0.999837102,0.794488389,0.999364948,0.999364948
202,线索阶段,0,1,0.999869681,0.706968947,0.883962452,0.86741502
98,线索等级,0,1,0.924643253,0.55544721,0.716096746,0.704094687
204,工商注册,0,1,0.862579006,0.44185758,0.639013494,0.639013494
203,线索评分,0,1,0.94295302,0.555524093,0.530978417,0.476852508
227,是否超时,0,1,0.849058448,0.530172693,0.268161407,0.268161407
130,是否存在重复数据,0,1,0.849058448,0.117933296,0.153342495,0.153342495
65,行为积分差值,0,1,0.849058448,0.075889706,0.104733308,0.103267948
28,参保人数,0,1,0.852968007,0.006419861,0.042154142,0.0400759
234,业务类型（必填）,0,1,0.891868118,0.097612657,0.040512681,0.039075777
144,生命状态,0,1,0.849058448,0.012057489,0.005381821,0.005381821
166,观看时长（分钟）,0,0.999478725,0.849058448,0.094431683,0.040663394,0.040329982
96,观看状态,0,0.999478725,0.849058448,0.061337838,0.040306944,0.040306944
102,观看状态-统计字段,0,0.999478725,0.849058448,0.063537594,0.040263881,0.040263881
181,回放状态,0,0.999478725,0.849058448,0.055203769,0.038379557,0.038379557
81,回放状态-统计字段,0,0.999478725,0.849058448,0.061566258,0.038356206,0.038356206
101,回放时长（分钟）,0,0.999478725,0.849058448,0.04424923,0.038364617,0.03828011
143,签到状态,0,0.999478725,0.849058448,0.031836409,0.015613078,0.015613078
112,签到状态-统计字段,0,0.999478725,0.849058448,0.034786424,0.015591525,0.015591525
209,线索培育次数-线索培育记录,0,0.999478725,0.849058448,0.005333219,0.002406667,0.002406667
49,手机归属市,0.952976737,0.937349319,0,0,0,0
86,手机归属省,0.506255742,0.937349319,0.850882909,0.145988478,0.040260605,0.034141053
137,手机归属国家,0,0.937349319,0.850850329,0.264173152,,
115,是否ABM培育,0,0.927510263,0.849058448,0.207529258,0.186234558,0.186234558
222,线索池,0.622710277,0.875773767,0.942562064,0.220864409,0.295356581,0.268287117
5,来源,0.413466571,0.845376947,0.887274386,0.091427142,0.038788112,0.034225928
217,负责人变更时间,0.999135765,0.834886297,0,0,0,0
7,线索主来源（主管道）,0,0.831986707,0.880367499,0.186404256,0.237619781,0.23117894
174,线索有效性,0,0.817619079,0.943474295,0.227908314,0.329693917,0.319457029
97,推荐渠道,0,0.766859973,0.85166482,0.275045539,0.119437272,0.119378565
185,线索阶段变更时间,0.999194772,0.766208379,0,0,0,0
99,是否为挖掘机行业,0,0.762233661,0.849058448,0.254419481,0.003119651,0.003119651
114,客户最后一次跟进时间是否超过6个月,0,0.762233661,0.849058448,0.254380928,,
10,所属行业,0.19519678,0.747833453,0.849058448,0.184407386,0.229876839,0.199552711
107,营销标签,0.852222676,0.745618036,0.85075259,0.178314435,0.094237683,0.082933485
6,销售线索详情,0.998778447,0.744640646,0,0,0,0
66,IP地址,0.999075185,0.607512869,0,0,0,0
52,设备信息,0.997731439,0.604092005,0,0,0,0
135,设备类型,0,0.604092005,0.849058448,0.067811957,0.141481638,0.141481638
169,归属部门,0.813486794,0.60262592,0.958526096,0.597968646,0.600110426,0.545052957
215,负责人,0.929478758,0.602528181,0,0,0,0
